pokeapi_id,pokedex_number,slug,name_en,source_url
39,39,jigglypuff,Jigglypuff,https://pokeapi.co/api/v2/pokemon-species/39/
40,40,wigglytuff,Wigglytuff,https://pokeapi.co/api/v2/pokemon-species/40/
41,41,zubat,Zubat,https://pokeapi.co/api/v2/pokemon-species/41/
42,42,golbat,Golbat,https://pokeapi.co/api/v2/pokemon-species/42/
43,43,oddish,Oddish,https://pokeapi.co/api/v2/pokemon-species/43/
44,44,gloom,Gloom,https://pokeapi.co/api/v2/pokemon-species/44/
45,45,vileplume,Vileplume,https://pokeapi.co/api/v2/pokemon-species/45/
46,46,paras,Paras,https://pokeapi.co/api/v2/pokemon-species/46/
47,47,parasect,Parasect,https://pokeapi.co/api/v2/pokemon-species/47/
48,48,venonat,Venonat,https://pokeapi.co/api/v2/pokemon-species/48/
49,49,venomoth,Venomoth,https://pokeapi.co/api/v2/pokemon-species/49/
50,50,diglett,Diglett,https://pokeapi.co/api/v2/pokemon-species/50/
51,51,dugtrio,Dugtrio,https://pokeapi.co/api/v2/pokemon-species/51/
52,52,meowth,Meowth,https://pokeapi.co/api/v2/pokemon-species/52/
53,53,persian,Persian,https://pokeapi.co/api/v2/pokemon-species/53/
54,54,psyduck,Psyduck,https://pokeapi.co/api/v2/pokemon-species/54/
55,55,golduck,Golduck,https://pokeapi.co/api/v2/pokemon-species/55/
56,56,mankey,Mankey,https://pokeapi.co/api/v2/pokemon-species/56/
57,57,primeape,Primeape,https://pokeapi.co/api/v2/pokemon-species/57/
58,58,growlithe,Growlithe,https://pokeapi.co/api/v2/pokemon-species/58/
59,59,arcanine,Arcanine,https://pokeapi.co/api/v2/pokemon-species/59/
60,60,poliwag,Poliwag,https://pokeapi.co/api/v2/pokemon-species/60/
61,61,poliwhirl,Poliwhirl,https://pokeapi.co/api/v2/pokemon-species/61/
62,62,poliwrath,Poliwrath,https://pokeapi.co/api/v2/pokemon-species/62/
63,63,abra,Abra,https://pokeapi.co/api/v2/pokemon-species/63/
64,64,kadabra,Kadabra,https://pokeapi.co/api/v2/pokemon-species/64/
65,65,alakazam,Alakazam,https://pokeapi.co/api/v2/pokemon-species/65/
66,66,machop,Machop,https://pokeapi.co/api/v2/pokemon-species/66/
67,67,machoke,Machoke,https://pokeapi.co/api/v2/pokemon-species/67/
68,68,machamp,Machamp,https://pokeapi.co/api/v2/pokemon-species/68/
69,69,bellsprout,Bellsprout,https://pokeapi.co/api/v2/pokemon-species/69/
70,70,weepinbell,Weepinbell,https://pokeapi.co/api/v2/pokemon-species/70/
71,71,victreebel,Victreebel,https://pokeapi.co/api/v2/pokemon-species/71/
72,72,tentacool,Tentacool,https://pokeapi.co/api/v2/pokemon-species/72/
73,73,tentacruel,Tentacruel,https://pokeapi.co/api/v2/pokemon-species/73/
74,74,geodude,Geodude,https://pokeapi.co/api/v2/pokemon-species/74/
75,75,graveler,Graveler,https://pokeapi.co/api/v2/pokemon-species/75/
76,76,golem,Golem,https://pokeapi.co/api/v2/pokemon-species/76/
77,77,ponyta,Ponyta,https://pokeapi.co/api/v2/pokemon-species/77/
78,78,rapidash,Rapidash,https://pokeapi.co/api/v2/pokemon-species/78/
79,79,slowpoke,Slowpoke,https://pokeapi.co/api/v2/pokemon-species/79/
80,80,slowbro,Slowbro,https://pokeapi.co/api/v2/pokemon-species/80/
81,81,magnemite,Magnemite,https://pokeapi.co/api/v2/pokemon-species/81/
82,82,magneton,Magneton,https://pokeapi.co/api/v2/pokemon-species/82/
83,83,farfetchd,Farfetchd,https://pokeapi.co/api/v2/pokemon-species/83/
84,84,doduo,Doduo,https://pokeapi.co/api/v2/pokemon-species/84/
85,85,dodrio,Dodrio,https://pokeapi.co/api/v2/pokemon-species/85/
86,86,seel,Seel,https://pokeapi.co/api/v2/pokemon-species/86/
87,87,dewgong,Dewgong,https://pokeapi.co/api/v2/pokemon-species/87/
88,88,grimer,Grimer,https://pokeapi.co/api/v2/pokemon-species/88/
89,89,muk,Muk,https://pokeapi.co/api/v2/pokemon-species/89/
90,90,shellder,Shellder,https://pokeapi.co/api/v2/pokemon-species/90/
91,91,cloyster,Cloyster,https://pokeapi.co/api/v2/pokemon-species/91/
92,92,gastly,Gastly,https://pokeapi.co/api/v2/pokemon-species/92/
93,93,haunter,Haunter,https://pokeapi.co/api/v2/pokemon-species/93/
94,94,gengar,Gengar,https://pokeapi.co/api/v2/pokemon-species/94/
95,95,onix,Onix,https://pokeapi.co/api/v2/pokemon-species/95/
96,96,drowzee,Drowzee,https://pokeapi.co/api/v2/pokemon-species/96/
97,97,hypno,Hypno,https://pokeapi.co/api/v2/pokemon-species/97/
98,98,krabby,Krabby,https://pokeapi.co/api/v2/pokemon-species/98/
99,99,kingler,Kingler,https://pokeapi.co/api/v2/pokemon-species/99/
100,100,voltorb,Voltorb,https://pokeapi.co/api/v2/pokemon-species/100/
101,101,electrode,Electrode,https://pokeapi.co/api/v2/pokemon-species/101/
102,102,exeggcute,Exeggcute,https://pokeapi.co/api/v2/pokemon-species/102/
103,103,exeggutor,Exeggutor,https://pokeapi.co/api/v2/pokemon-species/103/
104,104,cubone,Cubone,https://pokeapi.co/api/v2/pokemon-species/104/
105,105,marowak,Marowak,https://pokeapi.co/api/v2/pokemon-species/105/
106,106,hitmonlee,Hitmonlee,https://pokeapi.co/api/v2/pokemon-species/106/
107,107,hitmonchan,Hitmonchan,https://pokeapi.co/api/v2/pokemon-species/107/
108,108,lickitung,Lickitung,https://pokeapi.co/api/v2/pokemon-species/108/
109,109,koffing,Koffing,https://pokeapi.co/api/v2/pokemon-species/109/
110,110,weezing,Weezing,https://pokeapi.co/api/v2/pokemon-species/110/
111,111,rhyhorn,Rhyhorn,https://pokeapi.co/api/v2/pokemon-species/111/
112,112,rhydon,Rhydon,https://pokeapi.co/api/v2/pokemon-species/112/
113,113,chansey,Chansey,https://pokeapi.co/api/v2/pokemon-species/113/
114,114,tangela,Tangela,https://pokeapi.co/api/v2/pokemon-species/114/
115,115,kangaskhan,Kangaskhan,https://pokeapi.co/api/v2/pokemon-species/115/
116,116,horsea,Horsea,https://pokeapi.co/api/v2/pokemon-species/116/
117,117,seadra,Seadra,https://pokeapi.co/api/v2/pokemon-species/117/
118,118,goldeen,Goldeen,https://pokeapi.co/api/v2/pokemon-species/118/
119,119,seaking,Seaking,https://pokeapi.co/api/v2/pokemon-species/119/
120,120,staryu,Staryu,https://pokeapi.co/api/v2/pokemon-species/120/
121,121,starmie,Starmie,https://pokeapi.co/api/v2/pokemon-species/121/
122,122,mr-mime,Mr Mime,https://pokeapi.co/api/v2/pokemon-species/122/
123,123,scyther,Scyther,https://pokeapi.co/api/v2/pokemon-species/123/
124,124,jynx,Jynx,https://pokeapi.co/api/v2/pokemon-species/124/
125,125,electabuzz,Electabuzz,https://pokeapi.co/api/v2/pokemon-species/125/
126,126,magmar,Magmar,https://pokeapi.co/api/v2/pokemon-species/126/
127,127,pinsir,Pinsir,https://pokeapi.co/api/v2/pokemon-species/127/
128,128,tauros,Tauros,https://pokeapi.co/api/v2/pokemon-species/128/
129,129,magikarp,Magikarp,https://pokeapi.co/api/v2/pokemon-species/129/
130,130,gyarados,Gyarados,https://pokeapi.co/api/v2/pokemon-species/130/
131,131,lapras,Lapras,https://pokeapi.co/api/v2/pokemon-species/131/
132,132,ditto,Ditto,https://pokeapi.co/api/v2/pokemon-species/132/
133,133,eevee,Eevee,https://pokeapi.co/api/v2/pokemon-species/133/
134,134,vaporeon,Vaporeon,https://pokeapi.co/api/v2/pokemon-species/134/
135,135,jolteon,Jolteon,https://pokeapi.co/api/v2/pokemon-species/135/
136,136,flareon,Flareon,https://pokeapi.co/api/v2/pokemon-species/136/
137,137,porygon,Porygon,https://pokeapi.co/api/v2/pokemon-species/137/
138,138,omanyte,Omanyte,https://pokeapi.co/api/v2/pokemon-species/138/
139,139,omastar,Omastar,https://pokeapi.co/api/v2/pokemon-species/139/
140,140,kabuto,Kabuto,https://pokeapi.co/api/v2/pokemon-species/140/
141,141,kabutops,Kabutops,https://pokeapi.co/api/v2/pokemon-species/141/
142,142,aerodactyl,Aerodactyl,https://pokeapi.co/api/v2/pokemon-species/142/
143,143,snorlax,Snorlax,https://pokeapi.co/api/v2/pokemon-species/143/
144,144,articuno,Articuno,https://pokeapi.co/api/v2/pokemon-species/144/
145,145,zapdos,Zapdos,https://pokeapi.co/api/v2/pokemon-species/145/
146,146,moltres,Moltres,https://pokeapi.co/api/v2/pokemon-species/146/
147,147,dratini,Dratini,https://pokeapi.co/api/v2/pokemon-species/147/
148,148,dragonair,Dragonair,https://pokeapi.co/api/v2/pokemon-species/148/
149,149,dragonite,Dragonite,https://pokeapi.co/api/v2/pokemon-species/149/
150,150,mewtwo,Mewtwo,https://pokeapi.co/api/v2/pokemon-species/150/
151,151,mew,Mew,https://pokeapi.co/api/v2/pokemon-species/151/
152,152,chikorita,Chikorita,https://pokeapi.co/api/v2/pokemon-species/152/
153,153,bayleef,Bayleef,https://pokeapi.co/api/v2/pokemon-species/153/
154,154,meganium,Meganium,https://pokeapi.co/api/v2/pokemon-species/154/
155,155,cyndaquil,Cyndaquil,https://pokeapi.co/api/v2/pokemon-species/155/
156,156,quilava,Quilava,https://pokeapi.co/api/v2/pokemon-species/156/
157,157,typhlosion,Typhlosion,https://pokeapi.co/api/v2/pokemon-species/157/
158,158,totodile,Totodile,https://pokeapi.co/api/v2/pokemon-species/158/
159,159,croconaw,Croconaw,https://pokeapi.co/api/v2/pokemon-species/159/
160,160,feraligatr,Feraligatr,https://pokeapi.co/api/v2/pokemon-species/160/
161,161,sentret,Sentret,https://pokeapi.co/api/v2/pokemon-species/161/
162,162,furret,Furret,https://pokeapi.co/api/v2/pokemon-species/162/
163,163,hoothoot,Hoothoot,https://pokeapi.co/api/v2/pokemon-species/163/
164,164,noctowl,Noctowl,https://pokeapi.co/api/v2/pokemon-species/164/
165,165,ledyba,Ledyba,https://pokeapi.co/api/v2/pokemon-species/165/
166,166,ledian,Ledian,https://pokeapi.co/api/v2/pokemon-species/166/
167,167,spinarak,Spinarak,https://pokeapi.co/api/v2/pokemon-species/167/
168,168,ariados,Ariados,https://pokeapi.co/api/v2/pokemon-species/168/
169,169,crobat,Crobat,https://pokeapi.co/api/v2/pokemon-species/169/
170,170,chinchou,Chinchou,https://pokeapi.co/api/v2/pokemon-species/170/
171,171,lanturn,Lanturn,https://pokeapi.co/api/v2/pokemon-species/171/
172,172,pichu,Pichu,https://pokeapi.co/api/v2/pokemon-species/172/
173,173,cleffa,Cleffa,https://pokeapi.co/api/v2/pokemon-species/173/
174,174,igglybuff,Igglybuff,https://pokeapi.co/api/v2/pokemon-species/174/
175,175,togepi,Togepi,https://pokeapi.co/api/v2/pokemon-species/175/
176,176,togetic,Togetic,https://pokeapi.co/api/v2/pokemon-species/176/
177,177,natu,Natu,https://pokeapi.co/api/v2/pokemon-species/177/
178,178,xatu,Xatu,https://pokeapi.co/api/v2/pokemon-species/178/
179,179,mareep,Mareep,https://pokeapi.co/api/v2/pokemon-species/179/
180,180,flaaffy,Flaaffy,https://pokeapi.co/api/v2/pokemon-species/180/
181,181,ampharos,Ampharos,https://pokeapi.co/api/v2/pokemon-species/181/
182,182,bellossom,Bellossom,https://pokeapi.co/api/v2/pokemon-species/182/
183,183,marill,Marill,https://pokeapi.co/api/v2/pokemon-species/183/
184,184,azumarill,Azumarill,https://pokeapi.co/api/v2/pokemon-species/184/
185,185,sudowoodo,Sudowoodo,https://pokeapi.co/api/v2/pokemon-species/185/
186,186,politoed,Politoed,https://pokeapi.co/api/v2/pokemon-species/186/
187,187,hoppip,Hoppip,https://pokeapi.co/api/v2/pokemon-species/187/
188,188,skiploom,Skiploom,https://pokeapi.co/api/v2/pokemon-species/188/
189,189,jumpluff,Jumpluff,https://pokeapi.co/api/v2/pokemon-species/189/
190,190,aipom,Aipom,https://pokeapi.co/api/v2/pokemon-species/190/
191,191,sunkern,Sunkern,https://pokeapi.co/api/v2/pokemon-species/191/
192,192,sunflora,Sunflora,https://pokeapi.co/api/v2/pokemon-species/192/
193,193,yanma,Yanma,https://pokeapi.co/api/v2/pokemon-species/193/
194,194,wooper,Wooper,https://pokeapi.co/api/v2/pokemon-species/194/
195,195,quagsire,Quagsire,https://pokeapi.co/api/v2/pokemon-species/195/
196,196,espeon,Espeon,https://pokeapi.co/api/v2/pokemon-species/196/
197,197,umbreon,Umbreon,https://pokeapi.co/api/v2/pokemon-species/197/
198,198,murkrow,Murkrow,https://pokeapi.co/api/v2/pokemon-species/198/
199,199,slowking,Slowking,https://pokeapi.co/api/v2/pokemon-species/199/
200,200,misdreavus,Misdreavus,https://pokeapi.co/api/v2/pokemon-species/200/
201,201,unown,Unown,https://pokeapi.co/api/v2/pokemon-species/201/
202,202,wobbuffet,Wobbuffet,https://pokeapi.co/api/v2/pokemon-species/202/
203,203,girafarig,Girafarig,https://pokeapi.co/api/v2/pokemon-species/203/
204,204,pineco,Pineco,https://pokeapi.co/api/v2/pokemon-species/204/
205,205,forretress,Forretress,https://pokeapi.co/api/v2/pokemon-species/205/
206,206,dunsparce,Dunsparce,https://pokeapi.co/api/v2/pokemon-species/206/
207,207,gligar,Gligar,https://pokeapi.co/api/v2/pokemon-species/207/
208,208,steelix,Steelix,https://pokeapi.co/api/v2/pokemon-species/208/
209,209,snubbull,Snubbull,https://pokeapi.co/api/v2/pokemon-species/209/
210,210,granbull,Granbull,https://pokeapi.co/api/v2/pokemon-species/210/
211,211,qwilfish,Qwilfish,https://pokeapi.co/api/v2/pokemon-species/211/
212,212,scizor,Scizor,https://pokeapi.co/api/v2/pokemon-species/212/
213,213,shuckle,Shuckle,https://pokeapi.co/api/v2/pokemon-species/213/
214,214,heracross,Heracross,https://pokeapi.co/api/v2/pokemon-species/214/
215,215,sneasel,Sneasel,https://pokeapi.co/api/v2/pokemon-species/215/
216,216,teddiursa,Teddiursa,https://pokeapi.co/api/v2/pokemon-species/216/
217,217,ursaring,Ursaring,https://pokeapi.co/api/v2/pokemon-species/217/
218,218,slugma,Slugma,https://pokeapi.co/api/v2/pokemon-species/218/
219,219,magcargo,Magcargo,https://pokeapi.co/api/v2/pokemon-species/219/
220,220,swinub,Swinub,https://pokeapi.co/api/v2/pokemon-species/220/
221,221,piloswine,Piloswine,https://pokeapi.co/api/v2/pokemon-species/221/
222,222,corsola,Corsola,https://pokeapi.co/api/v2/pokemon-species/222/
223,223,remoraid,Remoraid,https://pokeapi.co/api/v2/pokemon-species/223/
224,224,octillery,Octillery,https://pokeapi.co/api/v2/pokemon-species/224/
225,225,delibird,Delibird,https://pokeapi.co/api/v2/pokemon-species/225/
226,226,mantine,Mantine,https://pokeapi.co/api/v2/pokemon-species/226/
227,227,skarmory,Skarmory,https://pokeapi.co/api/v2/pokemon-species/227/
228,228,houndour,Houndour,https://pokeapi.co/api/v2/pokemon-species/228/
229,229,houndoom,Houndoom,https://pokeapi.co/api/v2/pokemon-species/229/
230,230,kingdra,Kingdra,https://pokeapi.co/api/v2/pokemon-species/230/
231,231,phanpy,Phanpy,https://pokeapi.co/api/v2/pokemon-species/231/
232,232,donphan,Donphan,https://pokeapi.co/api/v2/pokemon-species/232/
233,233,porygon2,Porygon2,https://pokeapi.co/api/v2/pokemon-species/233/
234,234,stantler,Stantler,https://pokeapi.co/api/v2/pokemon-species/234/
235,235,smeargle,Smeargle,https://pokeapi.co/api/v2/pokemon-species/235/
236,236,tyrogue,Tyrogue,https://pokeapi.co/api/v2/pokemon-species/236/
237,237,hitmontop,Hitmontop,https://pokeapi.co/api/v2/pokemon-species/237/
238,238,smoochum,Smoochum,https://pokeapi.co/api/v2/pokemon-species/238/
239,239,elekid,Elekid,https://pokeapi.co/api/v2/pokemon-species/239/
240,240,magby,Magby,https://pokeapi.co/api/v2/pokemon-species/240/
241,241,miltank,Miltank,https://pokeapi.co/api/v2/pokemon-species/241/
242,242,blissey,Blissey,https://pokeapi.co/api/v2/pokemon-species/242/
243,243,raikou,Raikou,https://pokeapi.co/api/v2/pokemon-species/243/
244,244,entei,Entei,https://pokeapi.co/api/v2/pokemon-species/244/
245,245,suicune,Suicune,https://pokeapi.co/api/v2/pokemon-species/245/
246,246,larvitar,Larvitar,https://pokeapi.co/api/v2/pokemon-species/246/
247,247,pupitar,Pupitar,https://pokeapi.co/api/v2/pokemon-species/247/
248,248,tyranitar,Tyranitar,https://pokeapi.co/api/v2/pokemon-species/248/
249,249,lugia,Lugia,https://pokeapi.co/api/v2/pokemon-species/249/
250,250,ho-oh,Ho Oh,https://pokeapi.co/api/v2/pokemon-species/250/
251,251,celebi,Celebi,https://pokeapi.co/api/v2/pokemon-species/251/
252,252,treecko,Treecko,https://pokeapi.co/api/v2/pokemon-species/252/
253,253,grovyle,Grovyle,https://pokeapi.co/api/v2/pokemon-species/253/
254,254,sceptile,Sceptile,https://pokeapi.co/api/v2/pokemon-species/254/
255,255,torchic,Torchic,https://pokeapi.co/api/v2/pokemon-species/255/
256,256,combusken,Combusken,https://pokeapi.co/api/v2/pokemon-species/256/
257,257,blaziken,Blaziken,https://pokeapi.co/api/v2/pokemon-species/257/
258,258,mudkip,Mudkip,https://pokeapi.co/api/v2/pokemon-species/258/
259,259,marshtomp,Marshtomp,https://pokeapi.co/api/v2/pokemon-species/259/
260,260,swampert,Swampert,https://pokeapi.co/api/v2/pokemon-species/260/
261,261,poochyena,Poochyena,https://pokeapi.co/api/v2/pokemon-species/261/
262,262,mightyena,Mightyena,https://pokeapi.co/api/v2/pokemon-species/262/
263,263,zigzagoon,Zigzagoon,https://pokeapi.co/api/v2/pokemon-species/263/
264,264,linoone,Linoone,https://pokeapi.co/api/v2/pokemon-species/264/
265,265,wurmple,Wurmple,https://pokeapi.co/api/v2/pokemon-species/265/
266,266,silcoon,Silcoon,https://pokeapi.co/api/v2/pokemon-species/266/
267,267,beautifly,Beautifly,https://pokeapi.co/api/v2/pokemon-species/267/
268,268,cascoon,Cascoon,https://pokeapi.co/api/v2/pokemon-species/268/
269,269,dustox,Dustox,https://pokeapi.co/api/v2/pokemon-species/269/
270,270,lotad,Lotad,https://pokeapi.co/api/v2/pokemon-species/270/
271,271,lombre,Lombre,https://pokeapi.co/api/v2/pokemon-species/271/
272,272,ludicolo,Ludicolo,https://pokeapi.co/api/v2/pokemon-species/272/
273,273,seedot,Seedot,https://pokeapi.co/api/v2/pokemon-species/273/
274,274,nuzleaf,Nuzleaf,https://pokeapi.co/api/v2/pokemon-species/274/
275,275,shiftry,Shiftry,https://pokeapi.co/api/v2/pokemon-species/275/
276,276,taillow,Taillow,https://pokeapi.co/api/v2/pokemon-species/276/
277,277,swellow,Swellow,https://pokeapi.co/api/v2/pokemon-species/277/
278,278,wingull,Wingull,https://pokeapi.co/api/v2/pokemon-species/278/
279,279,pelipper,Pelipper,https://pokeapi.co/api/v2/pokemon-species/279/
280,280,ralts,Ralts,https://pokeapi.co/api/v2/pokemon-species/280/
281,281,kirlia,Kirlia,https://pokeapi.co/api/v2/pokemon-species/281/
282,282,gardevoir,Gardevoir,https://pokeapi.co/api/v2/pokemon-species/282/
283,283,surskit,Surskit,https://pokeapi.co/api/v2/pokemon-species/283/
284,284,masquerain,Masquerain,https://pokeapi.co/api/v2/pokemon-species/284/
285,285,shroomish,Shroomish,https://pokeapi.co/api/v2/pokemon-species/285/
286,286,breloom,Breloom,https://pokeapi.co/api/v2/pokemon-species/286/
287,287,slakoth,Slakoth,https://pokeapi.co/api/v2/pokemon-species/287/
288,288,vigoroth,Vigoroth,https://pokeapi.co/api/v2/pokemon-species/288/
289,289,slaking,Slaking,https://pokeapi.co/api/v2/pokemon-species/289/
290,290,nincada,Nincada,https://pokeapi.co/api/v2/pokemon-species/290/
291,291,ninjask,Ninjask,https://pokeapi.co/api/v2/pokemon-species/291/
292,292,shedinja,Shedinja,https://pokeapi.co/api/v2/pokemon-species/292/
293,293,whismur,Whismur,https://pokeapi.co/api/v2/pokemon-species/293/
294,294,loudred,Loudred,https://pokeapi.co/api/v2/pokemon-species/294/
295,295,exploud,Exploud,https://pokeapi.co/api/v2/pokemon-species/295/
296,296,makuhita,Makuhita,https://pokeapi.co/api/v2/pokemon-species/296/
297,297,hariyama,Hariyama,https://pokeapi.co/api/v2/pokemon-species/297/
298,298,azurill,Azurill,https://pokeapi.co/api/v2/pokemon-species/298/
299,299,nosepass,Nosepass,https://pokeapi.co/api/v2/pokemon-species/299/
300,300,skitty,Skitty,https://pokeapi.co/api/v2/pokemon-species/300/
301,301,delcatty,Delcatty,https://pokeapi.co/api/v2/pokemon-species/301/
302,302,sableye,Sableye,https://pokeapi.co/api/v2/pokemon-species/302/
303,303,mawile,Mawile,https://pokeapi.co/api/v2/pokemon-species/303/
304,304,aron,Aron,https://pokeapi.co/api/v2/pokemon-species/304/
305,305,lairon,Lairon,https://pokeapi.co/api/v2/pokemon-species/305/
306,306,aggron,Aggron,https://pokeapi.co/api/v2/pokemon-species/306/
307,307,meditite,Meditite,https://pokeapi.co/api/v2/pokemon-species/307/
308,308,medicham,Medicham,https://pokeapi.co/api/v2/pokemon-species/308/
309,309,electrike,Electrike,https://pokeapi.co/api/v2/pokemon-species/309/
310,310,manectric,Manectric,https://pokeapi.co/api/v2/pokemon-species/310/
311,311,plusle,Plusle,https://pokeapi.co/api/v2/pokemon-species/311/
312,312,minun,Minun,https://pokeapi.co/api/v2/pokemon-species/312/
313,313,volbeat,Volbeat,https://pokeapi.co/api/v2/pokemon-species/313/
314,314,illumise,Illumise,https://pokeapi.co/api/v2/pokemon-species/314/
315,315,roselia,Roselia,https://pokeapi.co/api/v2/pokemon-species/315/
316,316,gulpin,Gulpin,https://pokeapi.co/api/v2/pokemon-species/316/
317,317,swalot,Swalot,https://pokeapi.co/api/v2/pokemon-species/317/
318,318,carvanha,Carvanha,https://pokeapi.co/api/v2/pokemon-species/318/
319,319,sharpedo,Sharpedo,https://pokeapi.co/api/v2/pokemon-species/319/
320,320,wailmer,Wailmer,https://pokeapi.co/api/v2/pokemon-species/320/
321,321,wailord,Wailord,https://pokeapi.co/api/v2/pokemon-species/321/
322,322,numel,Numel,https://pokeapi.co/api/v2/pokemon-species/322/
323,323,camerupt,Camerupt,https://pokeapi.co/api/v2/pokemon-species/323/
324,324,torkoal,Torkoal,https://pokeapi.co/api/v2/pokemon-species/324/
325,325,spoink,Spoink,https://pokeapi.co/api/v2/pokemon-species/325/
326,326,grumpig,Grumpig,https://pokeapi.co/api/v2/pokemon-species/326/
327,327,spinda,Spinda,https://pokeapi.co/api/v2/pokemon-species/327/
328,328,trapinch,Trapinch,https://pokeapi.co/api/v2/pokemon-species/328/
329,329,vibrava,Vibrava,https://pokeapi.co/api/v2/pokemon-species/329/
330,330,flygon,Flygon,https://pokeapi.co/api/v2/pokemon-species/330/
331,331,cacnea,Cacnea,https://pokeapi.co/api/v2/pokemon-species/331/
332,332,cacturne,Cacturne,https://pokeapi.co/api/v2/pokemon-species/332/
333,333,swablu,Swablu,https://pokeapi.co/api/v2/pokemon-species/333/
334,334,altaria,Altaria,https://pokeapi.co/api/v2/pokemon-species/334/
335,335,zangoose,Zangoose,https://pokeapi.co/api/v2/pokemon-species/335/
336,336,seviper,Seviper,https://pokeapi.co/api/v2/pokemon-species/336/
337,337,lunatone,Lunatone,https://pokeapi.co/api/v2/pokemon-species/337/
338,338,solrock,Solrock,https://pokeapi.co/api/v2/pokemon-species/338/
339,339,barboach,Barboach,https://pokeapi.co/api/v2/pokemon-species/339/
340,340,whiscash,Whiscash,https://pokeapi.co/api/v2/pokemon-species/340/
341,341,corphish,Corphish,https://pokeapi.co/api/v2/pokemon-species/341/
342,342,crawdaunt,Crawdaunt,https://pokeapi.co/api/v2/pokemon-species/342/
343,343,baltoy,Baltoy,https://pokeapi.co/api/v2/pokemon-species/343/
344,344,claydol,Claydol,https://pokeapi.co/api/v2/pokemon-species/344/
345,345,lileep,Lileep,https://pokeapi.co/api/v2/pokemon-species/345/
346,346,cradily,Cradily,https://pokeapi.co/api/v2/pokemon-species/346/
347,347,anorith,Anorith,https://pokeapi.co/api/v2/pokemon-species/347/
348,348,armaldo,Armaldo,https://pokeapi.co/api/v2/pokemon-species/348/
349,349,feebas,Feebas,https://pokeapi.co/api/v2/pokemon-species/349/
350,350,milotic,Milotic,https://pokeapi.co/api/v2/pokemon-species/350/
351,351,castform,Castform,https://pokeapi.co/api/v2/pokemon-species/351/
352,352,kecleon,Kecleon,https://pokeapi.co/api/v2/pokemon-species/352/
353,353,shuppet,Shuppet,https://pokeapi.co/api/v2/pokemon-species/353/
354,354,banette,Banette,https://pokeapi.co/api/v2/pokemon-species/354/
355,355,duskull,Duskull,https://pokeapi.co/api/v2/pokemon-species/355/
356,356,dusclops,Dusclops,https://pokeapi.co/api/v2/pokemon-species/356/
357,357,tropius,Tropius,https://pokeapi.co/api/v2/pokemon-species/357/
358,358,chimecho,Chimecho,https://pokeapi.co/api/v2/pokemon-species/358/
359,359,absol,Absol,https://pokeapi.co/api/v2/pokemon-species/359/
360,360,wynaut,Wynaut,https://pokeapi.co/api/v2/pokemon-species/360/
361,361,snorunt,Snorunt,https://pokeapi.co/api/v2/pokemon-species/361/
362,362,glalie,Glalie,https://pokeapi.co/api/v2/pokemon-species/362/
363,363,spheal,Spheal,https://pokeapi.co/api/v2/pokemon-species/363/
364,364,sealeo,Sealeo,https://pokeapi.co/api/v2/pokemon-species/364/
